Refs,Manf#,Qty
U6,SN6505ADBVT,1
"C135,C139,C143,C147",GRM21BR60J226ME39L,4
R2-R6,RC0402FR-0747KL,5
U5,ESP-12F,1
U43,473521001,1
SW3,B3U-1000P,1
"U1,U2,U39",ADP7118AUJZ-3.3,3
J1,PBS-2,1
"D1,D2",MBR0520LT1G,2
"C1,C5-C11,C16-C24,C26-C28,C34,C39-C50,C52,C57,C62-C72,C78,C83-C93,C99-C101,C103-C105,C107-C110,C115,C118,C125-C128,C130,C133,C134,C137,C138,C141,C142,C145,C146",MC0402B104K160CT,83
U12,LSM6DS3TR,1
U3,7W-8.192MBA-T,1
U36,ISO7341CDW,1
"P6,P7",PBD-3,2
Y2,KX-9A 8.0 MHz,1
SW4,B3U-3000PM-B,1
U35,ADUM1402BRWZ,1
P8,105017-0001,1
D3,SP0503BAHTG,1
"C4,C131",,2
U40,CP2102N-A01-GQFN24,1
"C2,C12-C15,C25,C29-C33,C35-C38,C51,C53-C56,C58-C61,C73-C77,C79-C82,C94-C98,C116",GRM155R60J105KE19D,39
P11,PBS-3,1
Y1,KX-327XS,1
"C102,C117,C119-C124",GRM188R60J225KE19D,8
R1,,1
SW2,B3U-1000P,1
U37,STM32F427ZIT6,1
"C106,C111,C112",GRM188R60J475KE19D,3
"U7,U14,U21,U28",ADR4525BRZ,4
U19,TLV73333PDBVT,1
P1-P4,PLD-10R,4
"U4,U8-U11,U15-U18,U22-U26,U29-U33,U38",TPD4E1B06DCKR,20
"U13,U20,U27,U34",AD7770ACPZ,4
"C113,C114,C132,C136,C140,C144",GRM188R61A106KE69D,6
SW1,B3U-3000PM-B,1
T1,DA2303-ALD,1
"C3,C129",,2
